name,title,author,date,description,categories,url,bib_string,
tziouvas,Biased by Design? Evaluating Bias and Behavioral Diversity in LLM Annotation of Real-World and Synthetic Hotel Reviews,M. C. Voutsa; N. Tsapatsoulis; C. Djouvas,2025,AI,Public Opinion & Argument Mining,https://doi.org/10.3390/ai6080178,"Voutsa, M. C., Tsapatsoulis, N., & Djouvas, C. (2025). Biased by Design? Evaluating Bias and Behavioral Diversity in LLM Annotation of Real-World and Synthetic Hotel Reviews. AI, 6(8), 178. https://doi.org/10.3390/ai6080178",
tziouvas,LLMs are not for everything: A Dataset and Comparative Study on Argument Strength Classification,C. Djouvas; A. Charalampous; C. J. Christodoulou; N. Tsapatsoulis,2025,Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,Public Opinion & Argument Mining,,"""Djouvas, C., Charalampous, A., Christodoulou, C. J., & Tsapatsoulis, N. (2025). LLMs are not for everything: A Dataset and Comparative Study on Argument Strength Classification. Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics, 437–443.""",
tziouvas,DataPoll: A Tool Facilitating Big Data Research in Social Sciences,A. Charalampous; C. Djouvas; C. Christodoulou,2025,IEEE Transactions on Computational Social Systems,Media & Social Media Monitoring,https://doi.org/10.1109/TCSS.2024.3506582,"Charalampous, A., Djouvas, C., & Christodoulou, C. (2025). DataPoll: A Tool Facilitating Big Data Research in Social Sciences. IEEE Transactions on Computational Social Systems, 12(2), 511–524. https://doi.org/10.1109/TCSS.2024.3506582",
tziouvas,Improving issue representation with candidate-level voting advice applications,M. Germann; F. Mendez; J. Wheatley; C. Djouvas; R. Nezi; M. Wall,2025,European Journal of Political Research,Applied Political Communication,https://doi.org/10.1111/1475-6765.70024,"Germann, M., Mendez, F., Wheatley, J., Djouvas, C., Nezi, R., & Wall, M. (2025). Improving issue representation with candidate-level voting advice applications. European Journal of Political Research, 64(4), 2132–2145. https://doi.org/10.1111/1475-6765.70024",
tziouvas,The contemporary aspect of the crime of enforced disappearances,C. Christodoulou; N. Kovras; I. Ioannidis; C. Djouvas,2025,15th Annual Conference of the European Political Science Association (EPSA 2025),Applied Political Communication,,"""Christodoulou, C., Kovras, N., Ioannidis, I., & Djouvas, C. (2025). The contemporary aspect of the crime of enforced disappearances. EPSA 2025, Madrid.""",
tziouvas,A practical guide on what not to write on the internet (if you are a dissident of an authoritarian regime),C. Christodoulou; N. Kovras; I. Ioannidis; C. Djouvas,2025,15th Annual Conference of the European Political Science Association (EPSA 2025),Applied Political Communication,,"""Christodoulou, C., Kovras, N., Ioannidis, I., & Djouvas, C. (2025). A practical guide on what not to write on the internet. EPSA 2025, Madrid.""",
tziouvas,Strategic Choices: How Tailored Information Influences Election Dynamics,C. Djouvas; M. Guinjoan; N. Ioannidis; F. Mendez; T. Rodon,2024,ECPR General Conference 2024,Applied Political Communication,,"""Djouvas, C., Guinjoan, M., Ioannidis, N., Mendez, F., & Rodon, T. (2024). Strategic Choices: How Tailored Information Influences Election Dynamics. ECPR General Conference 2024.""",
tziouvas,As bad as humans: Can machine learning text analysis be used for framing analysis,C. Djouvas; V. Manavopoulos; F. Mendez,2023,17th European Consortium of Political Research (ECPR 2023),Public Opinion & Argument Mining,,"""Djouvas, C., Manavopoulos, V., & Mendez, F. (2023). As bad as humans: Can machine learning text analysis be used for framing analysis. ECPR 2023, Prague.""",
tziouvas,Identifying Euroscepticism Using a Text-As-Data Approach: An Experimental Study Employing Parliamentary Speeches,C. Djouvas; C. Christodoulou; A. Charalampous; N. Ioannidis,2023,18th IEEE International Workshop on Semantic and Social Media Adaptation & Personalization (SMAP 2023),Applied Political Communication,,"""Djouvas, C., Christodoulou, C., Charalampous, A., & Ioannidis, N. (2023). Identifying Euroscepticism Using a Text-As-Data Approach. SMAP 2023, 1–6.""",
tziouvas,Quo Vadis Computer Science? The topics of the influential papers during the period 2014–2021,N. Tsapatsoulis; H. Partaourides; C. Christodoulou; C. Djouvas,2022,IEEE International Conference on Pervasive Intelligence and Computing (PICom 2022),Not applicable,https://doi.org/10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927789,"Tsapatsoulis, N., Partaourides, H., Christodoulou, C., & Djouvas, C. (2022). Quo Vadis Computer Science? IEEE PICom, 1–8. https://doi.org/10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927789",
tziouvas,The European Union's approach to multilingualism in its own communication policy,C. Mendez; M. Gazzola; L. Clement-Wilz; V. Triga; F. Mendez; C. Djouvas; A. Charalampous; J. Bachtler,2022,European Parliament,Media & Social Media Monitoring,http://www.europarl.europa.eu/RegData/etudes/STUD/2022/699648/IPOL_STU(2022)699648_EN.pdf,"Mendez, C., Gazzola, M., Clement-Wilz, L., Triga, V., Mendez, F., Djouvas, C., Charalampous, A., & Bachtler, J. (2022). The European Union's approach to multilingualism in its own communication policy. European Parliament.",
tziouvas,Research for CULT Committee – The European Union's Approach to Multilingualism in its Own Communication Policy,C. Mendez; M. Gazzola; L. Clement-Wilz; V. Triga; F. Mendez; C. Djouvas; A. Charamboulos; J. Bachtler,2022,European Parliament (CULT Committee),Media & Social Media Monitoring,,"""Mendez, C., Gazzola, M., Clement-Wilz, L., Triga, V., Mendez, F., Djouvas, C., Charamboulos, A., & Bachtler, J. (2022). Research for CULT Committee – The European Union's Approach to Multilingualism in its Own Communication Policy. European Parliament.""",
tziouvas,Can data activism strengthen the agency of 'common' users? An empirical study of oppositional affordances and use positions toward Facebook,V. Papa; D. Milioni; C. Djouvas,2022,"Data Power Dialogues, Bremen",Media & Social Media Monitoring,,"""Papa, V., Milioni, D., & Djouvas, C. (2022). Can data activism strengthen the agency of 'common' users? Data Power Dialogues, Bremen.""",
tziouvas,Modeling and Validating a News Recommender Algorithm in a Mainstream Medium-Sized News Organization: An Experimental Approach,P. Spyridou; C. Djouvas; D. Milioni,2022,Future Internet,Applied Political Communication,https://doi.org/10.3390/fi14100284,"Spyridou, P., Djouvas, C., & Milioni, D. (2022). Modeling and Validating a News Recommender Algorithm in a Mainstream Medium-Sized News Organization: An Experimental Approach. Future Internet, 14(10), 284. https://doi.org/10.3390/fi14100284",
tziouvas,Can data activism strengthen the agency of 'common' users? An empirical study of oppositional affordances and use positions toward Facebook,V. Papa; D. Milioni; C. Djouvas,2021,Annual Conference of International Association of Media and Communication Research (IAMCR 2021),Media & Social Media Monitoring,,"""Papa, V., Milioni, D., & Djouvas, C. (2021). Can data activism strengthen the agency of 'common' users? IAMCR 2021.""",
tziouvas,Mapping Voters' Engagement with Political Information Sites: The Case of Voting Advice Applications,C. Djouvas; V. Manavopoulos; F. Mendez,2021,European Consortium for Political Research General Conference (ECPR 2021),Applied Political Communication,,"""Djouvas, C., Manavopoulos, V., & Mendez, F. (2021). Mapping Voters' Engagement with Political Information Sites: The Case of Voting Advice Applications. ECPR 2021.""",
tziouvas,Opinion mining from social media short texts: Does collective intelligence beat deep learning?,N. Tsapatsoulis; C. Djouvas,2019,Frontiers in Robotics and AI,Public Opinion & Argument Mining,,"""Tsapatsoulis, N., & Djouvas, C. (2019). Opinion mining from social media short texts: Does collective intelligence beat deep learning? Frontiers in Robotics and AI, 5, 138.""",
tziouvas,Large Scale Crowdsourcing and Characterization of Twitter Abusive Behavior,A. Founta; C. Djouvas; D. Chatzakou; I. Leontiadis; J. Blackburn; G. Stringhini; A. Vakali; M. Sirivianos; N. Kourtellis,2018,International AAAI Conference on Web and Social Media (ICWSM),Media & Social Media Monitoring,,"""Founta, A., Djouvas, C., Chatzakou, D., et al. (2018). Large Scale Crowdsourcing and Characterization of Twitter Abusive Behavior. ICWSM 2018.""",
tziouvas,Algorithmic profiling and news personalization,D. Milioni; L. Kollyri; C. Djouvas,2018,Amsterdam Privacy Conference (APC 2018),Media & Social Media Monitoring,,"""Milioni, D., Kollyri, L., & Djouvas, C. (2018). Algorithmic profiling and news personalization. APC 2018, Amsterdam.""",
tziouvas,Improving Social Vote Recommendation in VAAs: The effects of political profile augmentation and classification method,C. Djouvas; A. Antoniou; N. Tsapatsoulis,2018,13th International Workshop on Semantic and Social Media Adaptation and Personalization (SMAP 2018),Applied Political Communication,,"""Djouvas, C., Antoniou, A., & Tsapatsoulis, N. (2018). Improving Social Vote Recommendation in VAAs. SMAP 2018, 1–6.""",
tziouvas,VAA Balancing Tool (Version 0.1),C. Djouvas; F. Mendez,2018,Zenodo (Published Software),Applied Political Communication,http://doi.org/10.5281/zenodo.1464098,"Djouvas, C., & Mendez, F. (2018). VAA Balancing Tool (Version 0.1). Zenodo. http://doi.org/10.5281/zenodo.1464098",
tziouvas,"Different Technologies, same Assumptions? Comparing the Response Behaviour (and Political Stance) of Mobile versus Desktop VAA users",C. Djouvas,2017,11th European Consortium of Political Research (ECPR 2017),Applied Political Communication,,"""Djouvas, C. (2017). Different Technologies, same Assumptions? Comparing the Response Behaviour of Mobile versus Desktop VAA users. ECPR 2017, Oslo.""",
tziouvas,Mining online political opinion surveys for suspect entries: An interdisciplinary comparison,C. Djouvas; F. Mendez; N. Tsapatsoulis,2016,Journal of Innovation in Digital Ecosystems,Applied Political Communication,,"""Djouvas, C., Mendez, F., & Tsapatsoulis, N. (2016). Mining online political opinion surveys for suspect entries: An interdisciplinary comparison. Journal of Innovation in Digital Ecosystems, 3(2), 172–182.""",
tziouvas,Estimating Party-user Similarity in Voting Advice Applications using Hidden Markov Models,M. Agathokleous; N. Tsapatsoulis; C. Djouvas,2016,ACM RecSys 2016 Workshop on Interfaces and Human Decision Making,Applied Political Communication,,"""Agathokleous, M., Tsapatsoulis, N., & Djouvas, C. (2016). Estimating Party-user Similarity in Voting Advice Applications using Hidden Markov Models. RecSys 2016 Workshop.""",
tziouvas,On the design of Social Voting Recommendation Applications,N. Tsapatsoulis; M. Agathokleous; C. Djouvas; F. Mendez,2015,International Journal on Artificial Intelligence Tools,Applied Political Communication,,"""Tsapatsoulis, N., Agathokleous, M., Djouvas, C., & Mendez, F. (2015). On the design of Social Voting Recommendation Applications. International Journal on Artificial Intelligence Tools, 24(3), 1550009.""",
tziouvas,SmartCoding: A web-based system for estimating parties policy positions,C. Djouvas; K. Gemenis,2015,WEBDATANET Conference,Applied Political Communication,,"""Djouvas, C., & Gemenis, K. (2015). SmartCoding: A web-based system for estimating parties policy positions. WEBDATANET Conference, Salamanca.""",
tziouvas,Pattern-based rogue identification,F. Mendez; K. Gemenis; C. Djouvas,2015,WEBDATANET Conference,Applied Political Communication,,"""Mendez, F., Gemenis, K., & Djouvas, C. (2015). Pattern-based rogue identification. WEBDATANET Conference, Salamanca.""",
tziouvas,A view behind the scenes: Data structures and software architecture of a VAA,C. Djouvas; N. Tsapatsoulis,2014,9th IEEE International Workshop on Semantic and Social Media Adaptation and Personalization (SMAP 2014),Applied Political Communication,,"""Djouvas, C., & Tsapatsoulis, N. (2014). A view behind the scenes: Data structures and software architecture of a VAA. SMAP 2014, 136–141.""",
tziouvas,Methodological challenges in the analysis of voting advice application generated data,F. Mendez; K. Gemenis; C. Djouvas,2014,9th IEEE International Workshop on Semantic and Social Media Adaptation and Personalization (SMAP 2014),Applied Political Communication,,"""Mendez, F., Gemenis, K., & Djouvas, C. (2014). Methodological challenges in the analysis of voting advice application generated data. SMAP 2014, 142–148.""",
tziouvas,Weeding out the rogues: How to identify them and why it matters for VAA-generated datasets,C. Djouvas; K. Gemenis; F. Mendez,2014,European Consortium for Political Research (ECPR 2014),Applied Political Communication,,"""Djouvas, C., Gemenis, K., & Mendez, F. (2014). Weeding out the rogues: How to identify them and why it matters for VAA-generated datasets. ECPR 2014.""",
tziouvas,"Social voting advice applications—definitions, challenges, datasets and evaluation",I. Katakis; N. Tsapatsoulis; F. Mendez; V. Triga; C. Djouvas,2013,IEEE Transactions on Cybernetics,Applied Political Communication,,"""Katakis, I., Tsapatsoulis, N., Mendez, F., Triga, V., & Djouvas, C. (2013). Social voting advice applications—definitions, challenges, datasets and evaluation. IEEE Transactions on Cybernetics, 44(7), 1039–1052.""",
tziouvas,Clustering online poll data: Towards a voting assistance system,I. Katakis; N. Tsapatsoulis; V. Triga; C. Tziouvas; F. Mendez,2012,IEEE SMAP 2012,Applied Political Communication,,"""Katakis, I., Tsapatsoulis, N., Triga, V., Tziouvas, C., & Mendez, F. (2012). Clustering online poll data: Towards a voting assistance system. IEEE SMAP 2012, 54–59.""",
pappa,Slantwise Disengagement: Explaining Facebook Users' Acts Beyond Resistance/Internalization of Domination Binary,V. Papa; Th. Kouros,2024,Convergence: The International Journal into New Media Technologies,Media & Social Media Monitoring,https://doi.org/10.1177/13548565241227396,"Papa, V., & Kouros, Th. (2024). Slantwise Disengagement: Explaining Facebook Users' Acts Beyond Resistance/Internalization of Domination Binary. Convergence, online first. https://doi.org/10.1177/13548565241227396",
pappa,Videography in the service of Social Movement Visibility and Interaction Amidst the Pandemic: The case of the Support Art Workers' Initiative in Greece,C. Constandinides; V. Papa; M. Ioannou,2024,Journal of Popular Communication,Applied Political Communication,https://doi.org/10.1080/15405702.2024.2393745,"Constandinides, C., Papa, V., & Ioannou, M. (2024). Videography in the service of Social Movement Visibility and Interaction Amidst the Pandemic. Journal of Popular Communication. https://doi.org/10.1080/15405702.2024.2393745",
pappa,Do Facebook and Google care about journalism? Mapping the relationship between affordances of GNI/FJP tools and journalistic norms,V. Papa; Th. Kouros,2023,Digital Journalism,Media & Social Media Monitoring,https://doi.org/10.1080/21670811.2023.2211626,"Papa, V., & Kouros, Th. (2023). Do Facebook and Google care about journalism? Digital Journalism. https://doi.org/10.1080/21670811.2023.2211626",
pappa,The dissemination of science news in social media platforms during the COVID-19 crisis: Characteristics and selection criteria,Th. Maniou; V. Papa,2023,Communication & Society,Media & Social Media Monitoring,https://doi.org/10.15581/003.36.1.35-46,"Maniou, Th., & Papa, V. (2023). The dissemination of science news in social media platforms during the COVID-19 crisis. Communication & Society. https://doi.org/10.15581/003.36.1.35-46",
pappa,The 10-year anniversary of intense protest in Greece and the role of Facebook,V. Papa; M. Ioannou,2023,Journal of Information Technology & Politics,Applied Political Communication,https://doi.org/10.1080/19331681.2023.2168818,"Papa, V., & Ioannou, M. (2023). The 10-year anniversary of intense protest in Greece and the role of Facebook. Journal of Information Technology & Politics. https://doi.org/10.1080/19331681.2023.2168818",
pappa,Reviewing the impact of Facebook on civic participation: The mediating role of algorithmic curation and platform affordances,V. Papa; N. Ioannides,2023,Journal of Communication Review,,Media & Social Media Monitoring,https://doi.org/10.1080/10714421.2023.2186680,"Papa, V., & Ioannides, N. (2023). Reviewing the impact of Facebook on civic participation. Journal of Communication Review. https://doi.org/10.1080/10714421.2023.2186680"
pappa,Conspiratorial narratives on Facebook and their historical contextual associations: A case study from Cyprus,Th. Kouros; V. Papa; M. Ioannou; V. Kapnisis,2022,Journal of Communication Inquiry,Media & Social Media Monitoring,https://doi.org/10.1177/01968599221117235,"Kouros, Th., Papa, V., Ioannou, M., & Kapnisis, V. (2022). Conspiratorial narratives on Facebook and their historical contextual associations. Journal of Communication Inquiry. https://doi.org/10.1177/01968599221117235",
pappa,The oppositional affordances of data activism,D. Milioni; V. Papa,2022,Media International Australia,Media & Social Media Monitoring,https://doi.org/10.1177/1329878X221074795,"Milioni, D., & Papa, V. (2022). The oppositional affordances of data activism. Media International Australia, 183(1), 1–16. https://doi.org/10.1177/1329878X221074795",
pappa,'What's up with ur emotions?' Untangling emotional user experience on Second Life and Facebook,Th. Photiadis; V. Papa,2022,Behaviour & Information Technology,Media & Social Media Monitoring,https://doi.org/10.1080/0144929X.2021.2013537,"Photiadis, Th., & Papa, V. (2022). 'What's up with ur emotions?' Untangling emotional user experience on Second Life and Facebook. Behaviour & Information Technology, 1–14. https://doi.org/10.1080/0144929X.2021.2013537",
pappa,Journalism education in the post-truth era: An exploration of the voices of journalism students in Greece and Cyprus,S. Theodosiadou; P-L. Spyridou; N. Panayiotou; D. Milioni; V. Papa,2021,Media Practice and Education,Not applicable,https://doi.org/10.1080/25741136.2021.1919833,"Theodosiadou, S., Spyridou, P-L., Panayiotou, N., Milioni, D., & Papa, V. (2021). Journalism education in the post-truth era. Media Practice and Education, 22(1), 1–14. https://doi.org/10.1080/25741136.2021.1919833",
pappa,Algorithmic Curation and Users' Civic Attitudes: A Study on Facebook News Feed Results,V. Papa; Th. Photiadis,2021,Information,Media & Social Media Monitoring,https://doi.org/10.3390/info12120522,"Papa, V., & Photiadis, Th. (2021). Algorithmic Curation and Users' Civic Attitudes: A Study on Facebook News Feed Results. Information, 12(522), 1–13. https://doi.org/10.3390/info12120522",
pappa,Recurrent narratives around the COVID-19 crisis in social networks: A case study analysis on Facebook,V. Papa; Th. Maniou,2020,Tripodos,Media & Social Media Monitoring,https://doi.org/10.51698/tripodos.2020.47p11-28,"Papa, V., & Maniou, Th. (2020). Recurrent narratives around the COVID-19 crisis in social networks. Tripodos, 27(2), 11–28. https://doi.org/10.51698/tripodos.2020.47p11-28",
pappa,Salience of Fakeness: Experimental Evidence on Readers' Distinction between Mainstream Media Content and Altered News Stories,Th. Maniou; V. Papa; Ph. Bantimaroudis,2020,Journal of Communication: Media Watch,Applied Political Communication,,"""Maniou, Th., Papa, V., & Bantimaroudis, Ph. (2020). Salience of Fakeness. Journal of Communication: Media Watch, 11(3), 386–400.""",
pappa,'To all activists: please post and share your story': Renewing understandings on civic participation and the role of Facebook in the Indignados movement,V. Papa,2017,European Journal of Communication,Applied Political Communication,https://doi.org/10.1177/0267323117737953,"Papa, V. (2017). 'To all activists: please post and share your story'. European Journal of Communication, 32(6), 583–597. https://doi.org/10.1177/0267323117737953",
triga,"The Waning of Ideology? Presidential elections in the Republic of Cyprus, 5 February 2023",Vasiliki Triga; Nikandros Ioannidis; Constantinos Djouvas,2024,South European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2024.2304445,"Triga, V., Ioannidis, N., & Djouvas, C. (2024). The Waning of Ideology? Presidential elections in the Republic of Cyprus, 5 February 2023. South European Society and Politics, 28(2).",
triga,Creating public value in regional policy. Bringing citizens back in,Carlos Mendez; Andreja Pegan; Vasiliki Triga,2024,Public Management Review,Applied Political Communication,https://doi.org/10.1080/14719037.2022.2126880,"Mendez, C., Pegan, A., & Triga, V. (2024). Creating public value in regional policy. Bringing citizens back in. Public Management Review, 26, 811-835.",
triga,Many losers– One winner? An examination of vote switching to the AfD in the 2017 German federal election using VAA data,L. Constantin Wurthmann; Stefan Marschall; Vasilis Manavopoulos; Vasiliki Triga,2021,Party Politics,Applied Political Communication,https://doi.org/10.1177/1354068820914959,"Wurthmann, L. C., Marschall, S., Triga, V., & Manavopoulos, V. (2021). Many losers– One winner? An examination of vote switching to the AfD in the 2017 German federal election using VAA data. Party Politics, 27(5), 870-882.",
triga,EU Cohesion Policy under the Media Spotlight: Exploring Territorial and Temporal Patterns in News Coverage and Tone,Carlos Mendez; Fernando Mendez; Vasiliki Triga; Juan Miguel Carrascosa,2020,Journal of Common Market Studies (JCMS),Media & Social Media Monitoring,https://doi.org/10.1111/jcms.13016,"Mendez, C., Mendez, F., Triga, V., & Carrascosa, J. M. (2020). EU Cohesion Policy under the Media Spotlight: Exploring Territorial and Temporal Patterns in News Coverage and Tone. Journal of Common Market Studies, 58(4), 1034-1055.",
triga,Does mode of administration impact the quality of data? Comparing a traditional survey versus an online survey via a Voting Advice Application,Vasiliki Triga; Vasilis Manavopoulos,2019,Survey Research Methods,Applied Political Communication,https://doi.org/10.18148/srm/2019.v13i2.7392,"Triga, V., & Manavopoulos, V. (2019). Does mode of administration impact the quality of data? Comparing a traditional survey versus an online survey via a Voting Advice Application. Survey Research Methods, 13, 181-194.",
triga,The Impact of VAAs on (non-Voting) Aspects of Political Participation: Insights from Panel Data Collected During the 2017 German Elections Campaign,Vasilis Manavopoulos; Vasiliki Triga; Stefan Marschall; Lucas Constantin Wurthmann,2019,"Statistics, Policy and Politics",Applied Political Communication,https://doi.org/10.1515/spp-2018-0008,"Manavopoulos, V., Triga, V., Marschall, S., & Wurthmann, C. (2019). The Impact of VAAs on (non-Voting) Aspects of Political Participation: Insights from Panel Data Collected During the 2017 German Federal Elections Campaign. Statistics, Policy and Politics, 9(2), 105-134.",
triga,Post-crisis normalisation? The 2018 Presidential Elections,Vasiliki Triga; Fernando Mendez; Constantinos Djouvas,2018,Southern European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2018.1511347,"Triga, V., Mendez, F., & Djouvas, C. (2018). Post-crisis normalisation? The 2018 Presidential Elections. Southern European Society and Politics, 24, 103-127.",
triga,Parties and Change in Post-bailout Cyprus: The May 2016 Parliamentary Elections,Vasiliki Triga,2017,Southern European Society and Politics,Applied Political Communication,https://doi.org/10.1080/13608746.2017.1312768,"Triga, V. (2017). Parties and Change in Post-bailout Cyprus: The May 2016 Parliamentary Elections. Southern European Society and Politics, 22, 261-279.",
triga,Referendums and the European Union: A comparative inquiry,Fernando Mendez; Mario Mendez; Vasiliki Triga,2014,Cambridge University Press,Applied Political Communication,https://doi.org/10.1017/CBO9781139524117,"Mendez, F., Mendez, M., & Triga, V. (2014). Referendums and the European Union: A comparative inquiry. Cambridge University Press.",
triga,"'Neither agree, nor disagree': A critical analysis of the middle answer category in Voting Advice Applications",Aphrodite Baka; Lia Figgou; Vasiliki Triga,2012,International Journal of Electronic Governance,Applied Political Communication,https://doi.org/10.1504/IJEG.2012.051306,"Baka, A., Figgou, L., & Triga, V. (2012). 'Neither agree, nor disagree': A critical analysis of the middle answer category in Voting Advice Applications. International Journal of Electronic Governance, 5, 244-263.",
